"","oilLONG","oilLAT","oilnear","oil_country","oilyeardisc","diaLONG","diaLAT","dianear","dia_country","diayeardisc","DIAINFO","RESINFO","gedlong","gedlat","ID","event_country","year","civdeath","region","oilLATsq","oilLONGsq","oilLATcu","oilLONGcu","diaLATsq","diaLONGsq","diaLATcu","diaLONGcu","GDP","Population","logGDP","gedLATsq","gedLONGsq","gedLATcu","gedLONGcu","uncivdeath"
"53",-17.1,14.76,808,"Senegal",1961,15.78,4.27,433,"Central African Republic",NA,"S","alluvial",-16.225278,12.565833,39146,"Senegal",1998,3.40119738166216,"Africa",217.8576,292.41,3215.578176,-5000.211,18.2329,249.0084,77.854483,3929.352552,9945796997,9347774,23.0204158865139,157.900158983889,263.259646177284,1984.147028465,-4271.46094540807,30
"54",30.32,8.47,890,"Sudan",1998,-10.5,7.32,733,"Liberia",NA,"S","alluvial gravels",30.486389,-3.363889,9684,"Burundi",2000,3.61091791264422,"Africa",71.7409,919.3024,607.645423,27873.248768,53.5824,110.25,392.223168,-1157.625,NA,NA,NA,11.315749204321,929.419914259321,-38.0649242751742,28334.6570504563,37
"55",64.06,35.8,793,"Afghanistan",1979,0,0,560,"Guinea",NA,"S","alluvial",65.038714,32.48418,146910,"Afghanistan",2002,2.07944154167984,"Asia",1281.64,4103.6836,45882.712,262881.971416,0,0,0,0,7465114629,22600770,22.7335066233455,1055.2219502724,4230.0343187738,34278.0197725997,275115.992268914,8
"56",32.97,10.02,804,"Sudan",1982,-61.22,-11.63,371,"Brazil",NA,"S","secondary",34.5,7.75,35608,"Ethiopia",2003,2.30258509299405,"Africa",100.4004,1087.0209,1006.012008,35839.079073,135.2569,3747.8884,-1573.037747,-229445.727848,14064103275,72170584,23.366891521079,60.0625,1190.25,465.484375,41063.625,10
"57",13.8,-10.29,861,"Angola",NA,-60.25,6.47,643,"Guyana",1946,"S","alluvial",15.683333,-17.783333,17748,"Namibia",1989,0,"Africa",105.8841,190.44,-1089.547389,2628.072,41.8609,3630.0625,270.840023,-218711.265625,NA,NA,NA,316.246932588889,245.966933988889,-5623.92451245676,3857.58133273676,0
"58",-90.03,15.79,305,"Guatemala",1977,-8.69,7.48,742,"Liberia",NA,"S","alluvial",-91.91667,14.93333,196584,"Guatemala",1989,1.09861228866811,"Americas",249.3241,8105.4009,3936.827539,-729729.243027,55.9504,75.5161,418.508992,-656.234909,19287240371,9050465,23.682709593547,223.0043448889,8448.6742238889,3330.19747365976,-776574.000574702,3
"59",94.91,26.98,674,"India",1945,-50.33,-16.33,322,"Brazil",NA,"S","secondary",97.4275,27.333056,68563,"Myanmar (Burma)",2013,1.09861228866811,"Asia",727.9204,9007.9081,19639.292392,854940.557771,266.6689,2533.1089,-4354.703137,-127491.370937,60877582017,51852451,24.8321308325133,747.095950299136,9492.11775625,20420.4154468995,924793.302697047,3
"60",30.32,8.47,890,"Sudan",1998,-61.22,-11.63,371,"Brazil",NA,"S","secondary",31.616667,4.85,64181,"South Sudan",2013,5.47227067367148,"Africa",71.7409,919.3024,607.645423,27873.248768,135.2569,3747.8884,-1573.037747,-229445.727848,NA,NA,NA,23.5225,999.613632188889,114.084125,31604.4513375766,238
"61",27.22,11.12,806,"Sudan",1979,-60.17,4.55,356,"Brazil",NA,"S","secondary",25.15,14.416666,153405,"Sudan",2014,1.94591014905531,"Africa",123.6544,740.9284,1375.036928,20168.071048,20.7025,3620.4289,94.196375,-217841.206913,69329767682,37977655,24.9621401989937,207.840258555556,632.5225,2996.36358894909,15907.940875,7
"62",78.85,9.38,663,"India",NA,-9.02,9.27,569,"Guinea",1946,"S","alluvial",79.95,6.85,77674,"Sri Lanka",1989,2.99573227355399,"Asia",87.9844,6217.3225,825.293672,490235.879125,85.9329,81.3604,796.597983,-733.870808,NA,NA,NA,46.9225,6392.0025,321.419125,511040.599875,20
